; CSV, generated by libsigrok 0.3.0 on Thu Jan  1 01:31:26 1970
; Channels (3/3): P1_ENRG_PWR, P1_ENRG_CURR, P1_ENRG_VOL
; Samplerate: 500 Hz
1.225000,0.286000,4.289000
1.225000,0.286000,4.286000
1.225000,0.286000,4.294000
1.225000,0.286000,4.286000
1.225000,0.286000,4.289000
1.225000,0.286000,4.285000
1.225000,0.286000,4.290000
1.225000,0.286000,4.291000
1.225000,0.286000,4.289000
1.225000,0.286000,4.289000
1.225000,0.286000,4.289000
1.225000,0.286000,4.290000
1.225000,0.287000,4.289000
1.225000,0.286000,4.290000
1.225000,0.286000,4.293000
1.225000,0.286000,4.294000
1.225000,0.286000,4.288000
1.225000,0.286000,4.288000
1.225000,0.286000,4.291000
1.225000,0.286000,4.290000
1.225000,0.286000,4.290000
1.225000,0.286000,4.288000
1.225000,0.286000,4.288000
1.225000,0.286000,4.291000
1.225000,0.286000,4.293000
1.225000,0.286000,4.291000
1.225000,0.287000,4.290000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.287000,4.294000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.298000
1.225000,0.286000,4.291000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.293000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.293000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.294000
1.225000,0.286000,4.294000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.293000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.294000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.298000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.287000,4.298000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.287000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.293000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.287000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.287000,4.296000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.298000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.295000
1.225000,0.286000,4.294000
1.225000,0.286000,4.296000
